Statistic Label,Electoral Division,Year,UNIT, VALUE ,Electoral Division Name,COUNTY
Household median gross income,"001 Arran Quay A, Dublin City",2016,Euro,"40,293.00",ARRAN QUAY A,DUBLIN
Household median gross income,"002 Arran Quay B, Dublin City",2016,Euro,"40,554.00",ARRAN QUAY B,DUBLIN
Household median gross income,"003 Arran Quay C, Dublin City",2016,Euro,"48,005.00",ARRAN QUAY C,DUBLIN
Household median gross income,"004 Arran Quay D, Dublin City",2016,Euro,"40,641.00",ARRAN QUAY D,DUBLIN
Household median gross income,"005 Arran Quay E, Dublin City",2016,Euro,"41,733.00",ARRAN QUAY E,DUBLIN
Household median gross income,"006 Ashtown A, Dublin City",2016,Euro,"63,947.00",ASHTOWN A,DUBLIN
Household median gross income,"007 Ashtown B, Dublin City",2016,Euro,"62,947.00",ASHTOWN B,DUBLIN
Household median gross income,"008 Ayrfield, Dublin City",2016,Euro,"47,567.00",AYRFIELD,DUBLIN
Household median gross income,"009 Ballybough A, Dublin City",2016,Euro,"31,504.00",BALLYBOUGH A,DUBLIN
Household median gross income,"010 Ballybough B, Dublin City",2016,Euro,"34,109.00",BALLYBOUGH B,DUBLIN
Household median gross income,"011 Ballygall A, Dublin City",2016,Euro,"45,686.00",BALLYGALL A,DUBLIN
Household median gross income,"012 Ballygall B, Dublin City",2016,Euro,"38,455.00",BALLYGALL B,DUBLIN
Household median gross income,"013 Ballygall C, Dublin City",2016,Euro,"50,531.00",BALLYGALL C,DUBLIN
Household median gross income,"014 Ballygall D, Dublin City",2016,Euro,"48,264.00",BALLYGALL D,DUBLIN
Household median gross income,"015 Ballymun A, Dublin City",2016,Euro,"43,696.00",BALLYMUN A,DUBLIN
Household median gross income,"016 Ballymun B, Dublin City",2016,Euro,"32,891.00",BALLYMUN B,DUBLIN
Household median gross income,"017 Ballymun C, Dublin City",2016,Euro,"35,408.00",BALLYMUN C,DUBLIN
Household median gross income,"018 Ballymun D, Dublin City",2016,Euro,"29,001.00",BALLYMUN D,DUBLIN
Household median gross income,"019 Ballymun E, Dublin City",2016,Euro,"56,725.00",BALLYMUN E,DUBLIN
Household median gross income,"020 Ballymun F, Dublin City",2016,Euro,"51,818.00",BALLYMUN F,DUBLIN
Household median gross income,"021 Beaumont A, Dublin City",2016,Euro,"46,176.00",BEAUMONT A,DUBLIN
Household median gross income,"022 Beaumont B, Dublin City",2016,Euro,"55,941.00",BEAUMONT B,DUBLIN
Household median gross income,"023 Beaumont C, Dublin City",2016,Euro,"47,292.00",BEAUMONT C,DUBLIN
Household median gross income,"024 Beaumont D, Dublin City",2016,Euro,"65,982.00",BEAUMONT D,DUBLIN
Household median gross income,"025 Beaumont E, Dublin City",2016,Euro,"49,943.00",BEAUMONT E,DUBLIN
Household median gross income,"026 Beaumont F, Dublin City",2016,Euro,"59,198.00",BEAUMONT F,DUBLIN
Household median gross income,"027 Botanic A, Dublin City",2016,Euro,"54,579.00",BOTANIC A,DUBLIN
Household median gross income,"028 Botanic B, Dublin City",2016,Euro,"62,621.00",BOTANIC B,DUBLIN
Household median gross income,"029 Botanic C, Dublin City",2016,Euro,"56,164.00",BOTANIC C,DUBLIN
Household median gross income,"030 Cabra East A, Dublin City",2016,Euro,"48,238.00",CABRA EAST A,DUBLIN
Household median gross income,"031 Cabra East B, Dublin City",2016,Euro,"37,486.00",CABRA EAST B,DUBLIN
Household median gross income,"032 Cabra East C, Dublin City",2016,Euro,"37,516.00",CABRA EAST C,DUBLIN
Household median gross income,"033 Cabra West A, Dublin City",2016,Euro,"40,853.00",CABRA WEST A,DUBLIN
Household median gross income,"034 Cabra West B, Dublin City",2016,Euro,"34,222.00",CABRA WEST B,DUBLIN
Household median gross income,"035 Cabra West C, Dublin City",2016,Euro,"41,250.00",CABRA WEST C,DUBLIN
Household median gross income,"036 Cabra West D, Dublin City",2016,Euro,"52,257.00",CABRA WEST D,DUBLIN
Household median gross income,"037 Clontarf East A, Dublin City",2016,Euro,"56,483.00",CLONTARF EAST A,DUBLIN
Household median gross income,"038 Clontarf East B, Dublin City",2016,Euro,"68,864.00",CLONTARF EAST B,DUBLIN
Household median gross income,"039 Clontarf East C, Dublin City",2016,Euro,"70,556.00",CLONTARF EAST C,DUBLIN
Household median gross income,"040 Clontarf East D, Dublin City",2016,Euro,"69,150.00",CLONTARF EAST D,DUBLIN
Household median gross income,"041 Clontarf East E, Dublin City",2016,Euro,"74,484.00",CLONTARF EAST E,DUBLIN
Household median gross income,"042 Clontarf West A, Dublin City",2016,Euro,"58,613.00",CLONTARF WEST A,DUBLIN
Household median gross income,"043 Clontarf West B, Dublin City",2016,Euro,"42,873.00",CLONTARF WEST B,DUBLIN
Household median gross income,"044 Clontarf West C, Dublin City",2016,Euro,"66,068.00",CLONTARF WEST C,DUBLIN
Household median gross income,"045 Clontarf West D, Dublin City",2016,Euro,"48,075.00",CLONTARF WEST D,DUBLIN
Household median gross income,"046 Clontarf West E, Dublin City",2016,Euro,"62,601.00",CLONTARF WEST E,DUBLIN
Household median gross income,"047 Drumcondra South A, Dublin City",2016,Euro,"63,028.00",DRUMCONDRA SOUTH A,DUBLIN
Household median gross income,"048 Drumcondra South B, Dublin City",2016,Euro,"48,970.00",DRUMCONDRA SOUTH B,DUBLIN
Household median gross income,"049 Drumcondra South C, Dublin City",2016,Euro,"55,909.00",DRUMCONDRA SOUTH C,DUBLIN
Household median gross income,"050 Edenmore, Dublin City",2016,Euro,"37,756.00",EDENMORE,DUBLIN
Household median gross income,"051 Finglas North A, Dublin City",2016,Euro,"37,594.00",FINGLAS NORTH A,DUBLIN
Household median gross income,"052 Finglas North B, Dublin City",2016,Euro,"35,123.00",FINGLAS NORTH B,DUBLIN
Household median gross income,"053 Finglas North C, Dublin City",2016,Euro,"45,740.00",FINGLAS NORTH C,DUBLIN
Household median gross income,"054 Finglas South A, Dublin City",2016,Euro,"35,349.00",FINGLAS SOUTH A,DUBLIN
Household median gross income,"055 Finglas South B, Dublin City",2016,Euro,"37,717.00",FINGLAS SOUTH B,DUBLIN
Household median gross income,"056 Finglas South C, Dublin City",2016,Euro,"35,801.00",FINGLAS SOUTH C,DUBLIN
Household median gross income,"057 Finglas South D, Dublin City",2016,Euro,"38,353.00",FINGLAS SOUTH D,DUBLIN
Household median gross income,"058 Grace Park, Dublin City",2016,Euro,"62,220.00",GRACE PARK,DUBLIN
Household median gross income,"059 Grange A, Dublin City",2016,Euro,"56,740.00",GRANGE A,DUBLIN
Household median gross income,"060 Grange B, Dublin City",2016,Euro,"52,073.00",GRANGE B,DUBLIN
Household median gross income,"061 Grange C, Dublin City",2016,Euro,"42,326.00",GRANGE C,DUBLIN
Household median gross income,"062 Grange D, Dublin City",2016,Euro,"49,145.00",GRANGE D,DUBLIN
Household median gross income,"063 Grange E, Dublin City",2016,Euro,"42,679.00",GRANGE E,DUBLIN
Household median gross income,"064 Harmonstown A, Dublin City",2016,Euro,"45,732.00",HARMONSTOWN A,DUBLIN
Household median gross income,"065 Harmonstown B, Dublin City",2016,Euro,"50,960.00",HARMONSTOWN B,DUBLIN
Household median gross income,"066 Inns Quay A, Dublin City",2016,Euro,"41,620.00",INNS QUAY A,DUBLIN
Household median gross income,"067 Inns Quay B, Dublin City",2016,Euro,"33,680.00",INNS QUAY B,DUBLIN
Household median gross income,"068 Inns Quay C, Dublin City",2016,Euro,"32,561.00",INNS QUAY C,DUBLIN
Household median gross income,"069 Kilmore A, Dublin City",2016,Euro,"53,567.00",KILMORE A,DUBLIN
Household median gross income,"070 Kilmore B, Dublin City",2016,Euro,"35,158.00",KILMORE B,DUBLIN
Household median gross income,"071 Kilmore C, Dublin City",2016,Euro,"34,210.00",KILMORE C,DUBLIN
Household median gross income,"072 Kilmore D, Dublin City",2016,Euro,"43,228.00",KILMORE D,DUBLIN
Household median gross income,"073 Mountjoy A, Dublin City",2016,Euro,"31,890.00",MOUNTJOY A,DUBLIN
Household median gross income,"074 Mountjoy B, Dublin City",2016,Euro,"29,090.00",MOUNTJOY B,DUBLIN
Household median gross income,"075 North City, Dublin City",2016,Euro,"44,053.00",NORTH CITY,DUBLIN
Household median gross income,"076 North Dock A, Dublin City",2016,Euro,"44,197.00",NORTH DOCK A,DUBLIN
Household median gross income,"077 North Dock B, Dublin City",2016,Euro,"56,062.00",NORTH DOCK B,DUBLIN
Household median gross income,"078 North Dock C, Dublin City",2016,Euro,"48,549.00",NORTH DOCK C,DUBLIN
Household median gross income,"079 Phoenix Park, Dublin City",2016,Euro,"60,561.00",PHOENIX PARK,DUBLIN
Household median gross income,"080 Priorswood A, Dublin City",2016,Euro,"48,724.00",PRIORSWOOD A,DUBLIN
Household median gross income,"081 Priorswood B, Dublin City",2016,Euro,"38,195.00",PRIORSWOOD B,DUBLIN
Household median gross income,"082 Priorswood C, Dublin City",2016,Euro,"37,776.00",PRIORSWOOD C,DUBLIN
Household median gross income,"083 Priorswood D, Dublin City",2016,Euro,"38,127.00",PRIORSWOOD D,DUBLIN
Household median gross income,"084 Priorswood E, Dublin City",2016,Euro,"47,092.00",PRIORSWOOD E,DUBLIN
Household median gross income,"085 Raheny-Foxfield, Dublin City",2016,Euro,"56,204.00",RAHENY-FOXFIELD,DUBLIN
Household median gross income,"086 Raheny-Greendale, Dublin City",2016,Euro,"43,275.00",RAHENY-GREENDALE,DUBLIN
Household median gross income,"087 Raheny-St. Assam, Dublin City",2016,Euro,"58,684.00",RAHENY-ST. ASSAM,DUBLIN
Household median gross income,"088 Rotunda A, Dublin City",2016,Euro,"30,822.00",ROTUNDA A,DUBLIN
Household median gross income,"089 Rotunda B, Dublin City",2016,Euro,"33,021.00",ROTUNDA B,DUBLIN
Household median gross income,"090 Whitehall A, Dublin City",2016,Euro,"53,018.00",WHITEHALL A,DUBLIN
Household median gross income,"091 Whitehall B, Dublin City",2016,Euro,"45,957.00",WHITEHALL B,DUBLIN
Household median gross income,"092 Whitehall C, Dublin City",2016,Euro,"48,169.00",WHITEHALL C,DUBLIN
Household median gross income,"093 Whitehall D, Dublin City",2016,Euro,"50,770.00",WHITEHALL D,DUBLIN
Household median gross income,"094 Chapelizod, Dublin City",2016,Euro,"57,021.00",CHAPELIZOD,DUBLIN
Household median gross income,"095 Cherry Orchard A, Dublin City",2016,Euro,"38,117.00",CHERRY ORCHARD A,DUBLIN
Household median gross income,"096 Carna, Dublin City",2016,Euro,"35,044.00",CARNA,DUBLIN
Household median gross income,"097 Cherry Orchard C, Dublin City",2016,Euro,"41,881.00",CHERRY ORCHARD C,DUBLIN
Household median gross income,"098 Crumlin A, Dublin City",2016,Euro,"41,041.00",CRUMLIN A,DUBLIN
Household median gross income,"099 Crumlin B, Dublin City",2016,Euro,"38,444.00",CRUMLIN B,DUBLIN
Household median gross income,"100 Crumlin C, Dublin City",2016,Euro,"42,066.00",CRUMLIN C,DUBLIN
Household median gross income,"101 Crumlin D, Dublin City",2016,Euro,"40,746.00",CRUMLIN D,DUBLIN
Household median gross income,"102 Crumlin E, Dublin City",2016,Euro,"38,083.00",CRUMLIN E,DUBLIN
Household median gross income,"103 Crumlin F, Dublin City",2016,Euro,"45,259.00",CRUMLIN F,DUBLIN
Household median gross income,"104 Decies, Dublin City",2016,Euro,"34,826.00",DECIES,DUBLIN
Household median gross income,"105 Drumfinn, Dublin City",2016,Euro,"36,250.00",DRUMFINN,DUBLIN
Household median gross income,"106 Inchicore A, Dublin City",2016,Euro,"41,553.00",INCHICORE A,DUBLIN
Household median gross income,"107 Inchicore B, Dublin City",2016,Euro,"30,084.00",INCHICORE B,DUBLIN
Household median gross income,"108 Kilmainham A, Dublin City",2016,Euro,"35,193.00",KILMAINHAM A,DUBLIN
Household median gross income,"109 Kilmainham B, Dublin City",2016,Euro,"56,245.00",KILMAINHAM B,DUBLIN
Household median gross income,"110 Kilmainham C, Dublin City",2016,Euro,"42,591.00",KILMAINHAM C,DUBLIN
Household median gross income,"111 Kimmage A, Dublin City",2016,Euro,"39,108.00",KIMMAGE A,DUBLIN
Household median gross income,"112 Kimmage B, Dublin City",2016,Euro,"39,006.00",KIMMAGE B,DUBLIN
Household median gross income,"113 Kimmage C, Dublin City",2016,Euro,"56,043.00",KIMMAGE C,DUBLIN
Household median gross income,"114 Kimmage D, Dublin City",2016,Euro,"44,424.00",KIMMAGE D,DUBLIN
Household median gross income,"115 Kimmage E, Dublin City",2016,Euro,"45,051.00",KIMMAGE E,DUBLIN
Household median gross income,"116 Kylemore, Dublin City",2016,Euro,"35,168.00",KYLEMORE,DUBLIN
Household median gross income,"117 Mansion House A, Dublin City",2016,Euro,"35,885.00",MANSION HOUSE A,DUBLIN
Household median gross income,"118 Mansion House B, Dublin City",2016,Euro,"57,247.00",MANSION HOUSE B,DUBLIN
Household median gross income,"119 Merchants Quay A, Dublin City",2016,Euro,"32,881.00",MERCHANTS QUAY A,DUBLIN
Household median gross income,"120 Merchants Quay B, Dublin City",2016,Euro,"42,329.00",MERCHANTS QUAY B,DUBLIN
Household median gross income,"121 Merchants Quay C, Dublin City",2016,Euro,"37,692.00",MERCHANTS QUAY C,DUBLIN
Household median gross income,"122 Merchants Quay D, Dublin City",2016,Euro,"52,524.00",MERCHANTS QUAY D,DUBLIN
Household median gross income,"123 Merchants Quay E, Dublin City",2016,Euro,"47,353.00",MERCHANTS QUAY E,DUBLIN
Household median gross income,"124 Merchants Quay F, Dublin City",2016,Euro,"36,526.00",MERCHANTS QUAY F,DUBLIN
Household median gross income,"125 Pembroke East A, Dublin City",2016,Euro,"52,841.00",PEMBROKE EAST A,DUBLIN
Household median gross income,"126 Pembroke East B, Dublin City",2016,Euro,"76,865.00",PEMBROKE EAST B,DUBLIN
Household median gross income,"127 Pembroke East C, Dublin City",2016,Euro,"80,154.00",PEMBROKE EAST C,DUBLIN
Household median gross income,"128 Pembroke East D, Dublin City",2016,Euro,"69,820.00",PEMBROKE EAST D,DUBLIN
Household median gross income,"129 Pembroke East E, Dublin City",2016,Euro,"89,620.00",PEMBROKE EAST E,DUBLIN
Household median gross income,"130 Pembroke West A, Dublin City",2016,Euro,"78,000.00",PEMBROKE WEST A,DUBLIN
Household median gross income,"131 Pembroke West B, Dublin City",2016,Euro,"85,780.00",PEMBROKE WEST B,DUBLIN
Household median gross income,"132 Pembroke West C, Dublin City",2016,Euro,"67,714.00",PEMBROKE WEST C,DUBLIN
Household median gross income,"133 Rathfarnham, Dublin City",2016,Euro,"72,432.00",RATHFARNHAM,DUBLIN
Household median gross income,"134 Rathmines East A, Dublin City",2016,Euro,"63,520.00",RATHMINES EAST A,DUBLIN
Household median gross income,"135 Rathmines East B, Dublin City",2016,Euro,"88,134.00",RATHMINES EAST B,DUBLIN
Household median gross income,"136 Rathmines East C, Dublin City",2016,Euro,"79,917.00",RATHMINES EAST C,DUBLIN
Household median gross income,"137 Rathmines East D, Dublin City",2016,Euro,"69,205.00",RATHMINES EAST D,DUBLIN
Household median gross income,"138 Rathmines West A, Dublin City",2016,Euro,"44,478.00",RATHMINES WEST A,DUBLIN
Household median gross income,"139 Rathmines West B, Dublin City",2016,Euro,"48,247.00",RATHMINES WEST B,DUBLIN
Household median gross income,"140 Rathmines West C, Dublin City",2016,Euro,"67,974.00",RATHMINES WEST C,DUBLIN
Household median gross income,"141 Rathmines West D, Dublin City",2016,Euro,"54,690.00",RATHMINES WEST D,DUBLIN
Household median gross income,"142 Rathmines West E, Dublin City",2016,Euro,"60,649.00",RATHMINES WEST E,DUBLIN
Household median gross income,"143 Rathmines West F, Dublin City",2016,Euro,"54,702.00",RATHMINES WEST F,DUBLIN
Household median gross income,"144 Royal Exchange A, Dublin City",2016,Euro,"41,119.00",ROYAL EXCHANGE A,DUBLIN
Household median gross income,"145 Royal Exchange B, Dublin City",2016,Euro,"28,367.00",ROYAL EXCHANGE B,DUBLIN
Household median gross income,"146 St. Kevin's, Dublin City",2016,Euro,"49,822.00",SAINT KEVIN'S,DUBLIN
Household median gross income,"147 South Dock, Dublin City",2016,Euro,"76,331.00",SOUTH DOCK,DUBLIN
Household median gross income,"148 Terenure A, Dublin City",2016,Euro,"57,234.00",TERENURE A,DUBLIN
Household median gross income,"149 Terenure B, Dublin City",2016,Euro,"61,432.00",TERENURE B,DUBLIN
Household median gross income,"150 Terenure C, Dublin City",2016,Euro,"84,266.00",TERENURE C,DUBLIN
Household median gross income,"151 Terenure D, Dublin City",2016,Euro,"96,130.00",TERENURE D,DUBLIN
Household median gross income,"152 Ushers A, Dublin City",2016,Euro,"67,561.00",USHERS A,DUBLIN
Household median gross income,"153 Ushers B, Dublin City",2016,Euro,"38,143.00",USHERS B,DUBLIN
Household median gross income,"154 Ushers C, Dublin City",2016,Euro,"35,760.00",USHERS C,DUBLIN
Household median gross income,"155 Ushers D, Dublin City",2016,Euro,"36,346.00",USHERS D,DUBLIN
Household median gross income,"156 Ushers E, Dublin City",2016,Euro,"32,750.00",USHERS E,DUBLIN
Household median gross income,"157 Ushers F, Dublin City",2016,Euro,"54,596.00",USHERS F,DUBLIN
Household median gross income,"158 Walkinstown A, Dublin City",2016,Euro,"46,842.00",WALKINSTOWN A,DUBLIN
Household median gross income,"159 Walkinstown B, Dublin City",2016,Euro,"43,510.00",WALKINSTOWN B,DUBLIN
Household median gross income,"160 Walkinstown C, Dublin City",2016,Euro,"41,360.00",WALKINSTOWN C,DUBLIN
Household median gross income,"161 Wood Quay A, Dublin City",2016,Euro,"25,627.00",WOOD QUAY A,DUBLIN
Household median gross income,"162 Wood Quay B, Dublin City",2016,Euro,"41,864.00",WOOD QUAY B,DUBLIN
Household median gross income,"001 Ballinascorney, South Dublin",2016,Euro,"41,878.00",BALLINASCORNEY,DUBLIN
Household median gross income,"002 Ballyboden, South Dublin",2016,Euro,"76,162.00",BALLYBODEN,DUBLIN
Household median gross income,"003 Bohernabreena, South Dublin",2016,Euro,"58,160.00",BOHERNABREENA,DUBLIN
Household median gross income,"004 Clondalkin-Ballymount, South Dublin",2016,Euro,"58,067.00",CLONDALKIN-BALLYMOUNT,DUBLIN
Household median gross income,"005 Clondalkin-Cappaghmore, South Dublin",2016,Euro,"33,283.00",CLONDALKIN-CAPPAGHMORE,DUBLIN
Household median gross income,"006 Clondalkin-Dunawley, South Dublin",2016,Euro,"40,346.00",CLONDALKIN-DUNAWLEY,DUBLIN
Household median gross income,"007 Clondalkin-Monastery, South Dublin",2016,Euro,"49,997.00",CLONDALKIN-MONASTERY,DUBLIN
Household median gross income,"008 Clondalkin-Moorfield, South Dublin",2016,Euro,"42,220.00",CLONDALKIN-MOORFIELD,DUBLIN
