Statistic Label,Electoral Division,Year,UNIT, VALUE ,Electoral Division Name,COUNTY
Household median gross income,"009 Clondalkin-Rowlagh, South Dublin",2016,Euro,"38,089.00",CLONDALKIN-ROWLAGH,DUBLIN
Household median gross income,"010 Clondalkin Village, South Dublin",2016,Euro,"48,837.00",CLONDALKIN VILLAGE,DUBLIN
Household median gross income,"011 Edmondstown, South Dublin",2016,Euro,"57,632.00",EDMONDSTOWN,DUBLIN
Household median gross income,"012 Firhouse-Ballycullen, South Dublin",2016,Euro,"81,556.00",FIRHOUSE-BALLYCULLEN,DUBLIN
Household median gross income,"013 Firhouse-Knocklyon, South Dublin",2016,Euro,"70,480.00",FIRHOUSE-KNOCKLYON,DUBLIN
Household median gross income,"014 Firhouse Village, South Dublin",2016,Euro,"63,175.00",FIRHOUSE VILLAGE,DUBLIN
Household median gross income,"015 Lucan-Esker, South Dublin",2016,Euro,"64,278.00",LUCAN-ESKER,DUBLIN
Household median gross income,"016 Lucan Heights, South Dublin",2016,Euro,"56,903.00",LUCAN HEIGHTS,DUBLIN
Household median gross income,"017 Lucan-St. Helen's, South Dublin",2016,Euro,"60,312.00",LUCAN-St. HELENS,DUBLIN
Household median gross income,"018 Newcastle, South Dublin",2016,Euro,"57,273.00",NEWCASTLE,DUBLIN
Household median gross income,"019 Palmerston Village, South Dublin",2016,Euro,"47,352.00",PALMERSTON VILLAGE,DUBLIN
Household median gross income,"020 Palmerston West, South Dublin",2016,Euro,"53,190.00",PALMERSTON WEST,DUBLIN
Household median gross income,"021 Rathcoole, South Dublin",2016,Euro,"59,582.00",RATHCOOLE,DUBLIN
Household median gross income,"022 Rathfarnham-Ballyroan, South Dublin",2016,Euro,"64,915.00",RATHFARNHAM-BALLYROAN,DUBLIN
Household median gross income,"023 Rathfarnham-Butterfield, South Dublin",2016,Euro,"69,760.00",RATHFARNHAM-BUTTERFIELD,DUBLIN
Household median gross income,"024 Rathfarnham-Hermitage, South Dublin",2016,Euro,"80,530.00",RATHFARNHAM-HERMITAGE,DUBLIN
Household median gross income,"025 Rathfarnham-St. Enda's, South Dublin",2016,Euro,"65,485.00",RATHFARNHAM-ST. ENDA'S,DUBLIN
Household median gross income,"026 Rathfarnham Village, South Dublin",2016,Euro,"67,965.00",RATHFARNHAM VILLAGE,DUBLIN
Household median gross income,"027 Saggart, South Dublin",2016,Euro,"55,179.00",SAGGART,DUBLIN
Household median gross income,"028 Tallaght-Avonbeg, South Dublin",2016,Euro,"36,623.00",TALLAGHT-AVONBEG,DUBLIN
Household median gross income,"029 Tallaght-Belgard, South Dublin",2016,Euro,"52,863.00",TALLAGHT-BELGARD,DUBLIN
Household median gross income,"030 Tallaght-Fettercairn, South Dublin",2016,Euro,"36,576.00",TALLAGHT-FETTERCAIRN,DUBLIN
Household median gross income,"031 Tallaght-Glenview, South Dublin",2016,Euro,"43,622.00",TALLAGHT-GLENVIEW,DUBLIN
Household median gross income,"032 Tallaght-Jobstown, South Dublin",2016,Euro,"42,775.00",TALLAGHT-JOBSTOWN,DUBLIN
Household median gross income,"033 Tallaght-Killinardan, South Dublin",2016,Euro,"35,993.00",TALLAGHT-KILLINARDAN,DUBLIN
Household median gross income,"034 Tallaght-Kilnamanagh, South Dublin",2016,Euro,"54,969.00",TALLAGHT-KILNAMANAGH,DUBLIN
Household median gross income,"035 Tallaght-Kiltipper, South Dublin",2016,Euro,"43,495.00",TALLAGHT-KILTIPPER,DUBLIN
Household median gross income,"036 Tallaght-Kingswood, South Dublin",2016,Euro,"49,299.00",TALLAGHT-KINGSWOOD,DUBLIN
Household median gross income,"037 Tallaght-Millbrook, South Dublin",2016,Euro,"41,703.00",TALLAGHT-MILLBROOK,DUBLIN
Household median gross income,"038 Tallaght-Oldbawn, South Dublin",2016,Euro,"48,745.00",TALLAGHT-OLDBAWN,DUBLIN
Household median gross income,"039 Tallaght-Springfield, South Dublin",2016,Euro,"42,677.00",TALLAGHT-SPRINGFIELD,DUBLIN
Household median gross income,"040 Tallaght-Tymon, South Dublin",2016,Euro,"39,826.00",TALLAGHT-TYMON,DUBLIN
Household median gross income,"041 Templeogue-Cypress, South Dublin",2016,Euro,"69,383.00",TEMPLEOGUE-CYPRESS,DUBLIN
Household median gross income,"042 Templeogue-Kimmage Manor, South Dublin",2016,Euro,"80,138.00",TEMPLEOGUE-KIMMAGE MANOR,DUBLIN
Household median gross income,"043 Templeogue-Limekiln, South Dublin",2016,Euro,"48,073.00",TEMPLEOGUE-LIMEKILN,DUBLIN
Household median gross income,"044 Templeogue-Orwell, South Dublin",2016,Euro,"66,991.00",TEMPLEOGUE-ORWELL,DUBLIN
Household median gross income,"045 Templeogue-Osprey, South Dublin",2016,Euro,"66,990.00",TEMPLEOGUE-OSPREY,DUBLIN
Household median gross income,"046 Templeogue Village, South Dublin",2016,Euro,"75,466.00",TEMPLEOGUE VILLAGE,DUBLIN
Household median gross income,"047 Terenure-Cherryfield, South Dublin",2016,Euro,"46,066.00",TERENURE-CHERRYFIELD,DUBLIN
Household median gross income,"048 Terenure-Greentrees, South Dublin",2016,Euro,"50,678.00",TERENURE-GREENTREES,DUBLIN
Household median gross income,"049 Terenure-St. James, South Dublin",2016,Euro,"38,875.00",TERENURE-ST. JAMES,DUBLIN
Household median gross income,"001 Airport, Fingal",2016,Euro,"52,482.00",AIRPORT,DUBLIN
Household median gross income,"002 Balbriggan Rural, Fingal",2016,Euro,"45,697.00",BALBRIGGAN RURAL,DUBLIN
Household median gross income,"003 Balbriggan Urban, Fingal",2016,Euro,"42,407.00",BALBRIGGAN URBAN,DUBLIN
Household median gross income,"004 Baldoyle, Fingal",2016,Euro,"54,984.00",BALDOYLE,DUBLIN
Household median gross income,"005 Balgriffin, Fingal",2016,Euro,"80,530.00",BALGRIFFIN,DUBLIN
Household median gross income,"006 Ballyboghil, Fingal",2016,Euro,"61,409.00",BALLYBOGHIL,DUBLIN
Household median gross income,"007 Balscadden, Fingal",2016,Euro,"58,510.00",BALSCADDEN,DUBLIN
Household median gross income,"008 Blanchardstown-Abbotstown, Fingal",2016,Euro,"62,675.00",BLANCHARDSTOWN-ABBOTSTOWN,DUBLIN
Household median gross income,"009 Blanchardstown-Blakestown, Fingal",2016,Euro,"58,709.00",BLANCHARDSTOWN-BLAKESTOWN,DUBLIN
Household median gross income,"010 Blanchardstown-Coolmine, Fingal",2016,Euro,"45,761.00",BLANCHARDSTOWN-COOLMINE,DUBLIN
Household median gross income,"011 Blanchardstown-Corduff, Fingal",2016,Euro,"40,192.00",BLANCHARDSTOWN-CORDUFF,DUBLIN
Household median gross income,"012 Blanchardstown-Delwood, Fingal",2016,Euro,"57,708.00",BLANCHARDSTOWN-DELWOOD,DUBLIN
Household median gross income,"013 Blanchardstown-Mulhuddart, Fingal",2016,Euro,"42,786.00",BLANCHARDSTOWN-MULHUDDART,DUBLIN
Household median gross income,"014 Blanchardstown-Roselawn, Fingal",2016,Euro,"53,133.00",BLANCHARDSTOWN-ROSELAWN,DUBLIN
Household median gross income,"015 Blanchardstown-Tyrrelstown, Fingal",2016,Euro,"34,167.00",BLANCHARDSTOWN-TYRRELSTOWN,DUBLIN
Household median gross income,"016 Castleknock-Knockmaroon, Fingal",2016,Euro,"79,636.00",CASTLEKNOCK-KNOCKMAROON,DUBLIN
Household median gross income,"017 Castleknock-Park, Fingal",2016,Euro,"89,031.00",CASTLEKNOCK-PARK,DUBLIN
Household median gross income,"018 Clonmethan, Fingal",2016,Euro,"59,584.00",CLONMETHAN,DUBLIN
Household median gross income,"019 Donabate, Fingal",2016,Euro,"65,437.00",DONABATE,DUBLIN
Household median gross income,"020 Dubber, Fingal",2016,Euro,"52,108.00",DUBBER,DUBLIN
Household median gross income,"021 Garristown, Fingal",2016,Euro,"52,448.00",GARRISTOWN,DUBLIN
Household median gross income,"022 Hollywood, Fingal",2016,Euro,"62,735.00",HOLLYWOOD,DUBLIN
Household median gross income,"023 Holmpatrick, Fingal",2016,Euro,"62,104.00",HOLMPATRICK,DUBLIN
Household median gross income,"024 Howth, Fingal",2016,Euro,"68,442.00",HOWTH,DUBLIN
Household median gross income,"025 Kilsallaghan, Fingal",2016,Euro,"55,115.00",KILSALLAGHAN,DUBLIN
Household median gross income,"026 Kinsaley, Fingal",2016,Euro,"60,188.00",KINSALEY,DUBLIN
Household median gross income,"027 Lucan North, Fingal",2016,Euro,"105,943.00",LUCAN NORTH,DUBLIN
Household median gross income,"028 Lusk, Fingal",2016,Euro,"59,784.00",LUSK,DUBLIN
Household median gross income,"029 Malahide East, Fingal",2016,Euro,"75,514.00",MALAHIDE EAST,DUBLIN
Household median gross income,"030 Malahide West, Fingal",2016,Euro,"77,014.00",MALAHIDE WEST,DUBLIN
Household median gross income,"031 Portmarnock North, Fingal",2016,Euro,"69,543.00",PORTMARNOCK NORTH,DUBLIN
Household median gross income,"032 Portmarnock South, Fingal",2016,Euro,"64,831.00",PORTMARNOCK SOUTH,DUBLIN
Household median gross income,"033 Rush, Fingal",2016,Euro,"54,842.00",RUSH,DUBLIN
Household median gross income,"034 Skerries, Fingal",2016,Euro,"57,676.00",SKERRIES,DUBLIN
Household median gross income,"035 Sutton, Fingal",2016,Euro,"58,475.00",SUTTON,DUBLIN
Household median gross income,"036 Swords-Forrest, Fingal",2016,Euro,"64,455.00",SWORDS-FORREST,DUBLIN
Household median gross income,"037 Swords-Glasmore, Fingal",2016,Euro,"57,926.00",SWORDS-GLASMORE,DUBLIN
Household median gross income,"038 Swords-Lissenhall, Fingal",2016,Euro,"59,577.00",SWORDS-LISSENHALL,DUBLIN
Household median gross income,"039 Swords-Seatown, Fingal",2016,Euro,"72,416.00",SWORDS-SEATOWN,DUBLIN
Household median gross income,"040 Swords Village, Fingal",2016,Euro,"50,097.00",SWORDS VILLAGE,DUBLIN
Household median gross income,"041 The Ward, Fingal",2016,Euro,"58,226.00",THE WARD,DUBLIN
Household median gross income,"042 Turnapin, Fingal",2016,Euro,"60,132.00",TURNAPIN,DUBLIN
Household median gross income,"001 Ballinteer-Broadford, Dún Laoghaire-Rathdown",2016,Euro,"57,994.00",BALLINTEER-BROADFORD,DUBLIN
Household median gross income,"002 Ballinteer-Ludford, Dún Laoghaire-Rathdown",2016,Euro,"54,693.00",BALLINTEER-LUDFORD,DUBLIN
Household median gross income,"003 Ballinteer-Marley, Dún Laoghaire-Rathdown",2016,Euro,"69,462.00",BALLINTEER-MARLEY,DUBLIN
Household median gross income,"004 Ballinteer-Meadowbroads, Dún Laoghaire-Rathdown",2016,Euro,"65,210.00",BALLINTEER-MEADOWBROADS,DUBLIN
Household median gross income,"005 Ballinteer-Meadowmount, Dún Laoghaire-Rathdown",2016,Euro,"44,324.00",BALLINTEER-MEADOWMOUNT,DUBLIN
Household median gross income,"006 Ballinteer-Woodpark, Dún Laoghaire-Rathdown",2016,Euro,"72,990.00",BALLINTEER-WOODPARK,DUBLIN
Household median gross income,"007 Ballybrack, Dún Laoghaire-Rathdown",2016,Euro,"58,667.00",BALLYBRACK,DUBLIN
Household median gross income,"008 Blackrock-Booterstown, Dún Laoghaire-Rathdown",2016,Euro,"76,600.00",BLACKROCK-BOOTERSTOWN,DUBLIN
Household median gross income,"009 Blackrock-Carysfort, Dún Laoghaire-Rathdown",2016,Euro,"80,185.00",BLACKROCK-CARYSFORT,DUBLIN
Household median gross income,"010 Blackrock-Central, Dún Laoghaire-Rathdown",2016,Euro,"86,896.00",BLACKROCK-CENTRAL,DUBLIN
Household median gross income,"011 Blackrock-Glenomena, Dún Laoghaire-Rathdown",2016,Euro,"82,452.00",BLACKROCK-GLENOMENA,DUBLIN
Household median gross income,"012 Blackrock-Monkstown, Dún Laoghaire-Rathdown",2016,Euro,"66,619.00",BLACKROCK-MONKSTOWN,DUBLIN
Household median gross income,"013 Blackrock-Newpark, Dún Laoghaire-Rathdown",2016,Euro,"66,930.00",BLACKROCK-NEWPARK,DUBLIN
Household median gross income,"014 Blackrock-Seapoint, Dún Laoghaire-Rathdown",2016,Euro,"85,947.00",BLACKROCK-SEAPOINT,DUBLIN
Household median gross income,"015 Blackrock-Stradbrook, Dún Laoghaire-Rathdown",2016,Euro,"60,325.00",BLACKROCK-STRADBROOK,DUBLIN
Household median gross income,"016 Blackrock-Templehill, Dún Laoghaire-Rathdown",2016,Euro,"63,300.00",BLACKROCK-TEMPLEHILL,DUBLIN
Household median gross income,"017 Blackrock-Williamstown, Dún Laoghaire-Rathdown",2016,Euro,"78,239.00",BLACKROCK-WILLIAMSTOWN,DUBLIN
Household median gross income,"018 Cabinteely-Granitefield, Dún Laoghaire-Rathdown",2016,Euro,"57,737.00",CABINTEELY-GRANITEFIELD,DUBLIN
Household median gross income,"019 Cabinteely-Kilbogget, Dún Laoghaire-Rathdown",2016,Euro,"52,911.00",CABINTEELY-KILBOGGET,DUBLIN
Household median gross income,"020 Cabinteely-Loughlinstown, Dún Laoghaire-Rathdown",2016,Euro,"66,509.00",CABINTEELY-LOUGHLINSTOWN,DUBLIN
Household median gross income,"021 Cabinteely-Pottery, Dún Laoghaire-Rathdown",2016,Euro,"62,133.00",CABINTEELY-POTTERY,DUBLIN
Household median gross income,"022 Churchtown-Castle, Dún Laoghaire-Rathdown",2016,Euro,"56,114.00",CHURCHTOWN-CASTLE,DUBLIN
Household median gross income,"023 Churchtown-Landscape, Dún Laoghaire-Rathdown",2016,Euro,"87,584.00",CHURCHTOWN-LANDSCAPE,DUBLIN
Household median gross income,"024 Churchtown-Nutgrove, Dún Laoghaire-Rathdown",2016,Euro,"47,686.00",CHURCHTOWN-NUTGROVE,DUBLIN
Household median gross income,"025 Churchtown-Orwell, Dún Laoghaire-Rathdown",2016,Euro,"74,226.00",CHURCHTOWN-ORWELL,DUBLIN
Household median gross income,"026 Churchtown-Woodlawn, Dún Laoghaire-Rathdown",2016,Euro,"80,628.00",CHURCHTOWN-WOODLAWN,DUBLIN
Household median gross income,"027 Clonskeagh-Belfield, Dún Laoghaire-Rathdown",2016,Euro,"31,307.00",CLONSKEAGH-BELFIELD,DUBLIN
Household median gross income,"028 Clonskeagh-Farranboley, Dún Laoghaire-Rathdown",2016,Euro,"45,294.00",CLONSKEAGH-FARRANBOLEY,DUBLIN
Household median gross income,"029 Clonskeagh-Milltown, Dún Laoghaire-Rathdown",2016,Euro,"91,199.00",CLONSKEAGH-MILLTOWN,DUBLIN
Household median gross income,"030 Clonskeagh-Roebuck, Dún Laoghaire-Rathdown",2016,Euro,"76,324.00",CLONSKEAGH-ROEBUCK,DUBLIN
Household median gross income,"031 Clonskeagh-Windy Arbour, Dún Laoghaire-Rathdown",2016,Euro,"62,834.00",CLONSKEAGH-WINDY ARBOUR,DUBLIN
Household median gross income,"032 Dalkey-Avondale, Dún Laoghaire-Rathdown",2016,Euro,"67,852.00",DALKEY-AVONDALE,DUBLIN
Household median gross income,"033 Dalkey-Bullock, Dún Laoghaire-Rathdown",2016,Euro,"63,590.00",DALKEY-BULLOCK,DUBLIN
Household median gross income,"034 Dalkey-Coliemore, Dún Laoghaire-Rathdown",2016,Euro,"50,093.00",DALKEY-COLIEMORE,DUBLIN
Household median gross income,"035 Dalkey Hill, Dún Laoghaire-Rathdown",2016,Euro,"55,983.00",DALKEY HILL,DUBLIN
Household median gross income,"036 Dalkey Upper, Dún Laoghaire-Rathdown",2016,Euro,"78,722.00",DALKEY UPPER,DUBLIN
Household median gross income,"037 Dundrum-Balally, Dún Laoghaire-Rathdown",2016,Euro,"65,628.00",DUNDRUM-BALALLY,DUBLIN
Household median gross income,"038 Dundrum-Kilmacud, Dún Laoghaire-Rathdown",2016,Euro,"82,715.00",DUNDRUM-KILMACUD,DUBLIN
Household median gross income,"039 Dundrum-Sandyford, Dún Laoghaire-Rathdown",2016,Euro,"70,871.00",DUNDRUM-SANDYFORD,DUBLIN
Household median gross income,"040 Dundrum-Sweetmount, Dún Laoghaire-Rathdown",2016,Euro,"65,673.00",DUNDRUM-SWEETMOUNT,DUBLIN
Household median gross income,"041 Dundrum-Taney, Dún Laoghaire-Rathdown",2016,Euro,"62,406.00",DUNDRUM-TANEY,DUBLIN
Household median gross income,"042 Dun Laoghaire-East Central, Dún Laoghaire-Rathdown",2016,Euro,"49,887.00",DUN LAOGHAIRE-EAST CENTRAL,DUBLIN
Household median gross income,"043 Dun Laoghaire-Glasthule, Dún Laoghaire-Rathdown",2016,Euro,"54,756.00",DUN LAOGHAIRE-GLASTHULE,DUBLIN
Household median gross income,"044 Dun Laoghaire-Glenageary, Dún Laoghaire-Rathdown",2016,Euro,"65,310.00",DUN LAOGHAIRE-GLENAGEARY,DUBLIN
Household median gross income,"045 Dun Laoghaire-Monkstown Farm, Dún Laoghaire-Rathdown",2016,Euro,"49,339.00",DUN LAOGHAIRE-MONKSTOWN FARM,DUBLIN
Household median gross income,"046 Dun Laoghaire-Mount Town, Dún Laoghaire-Rathdown",2016,Euro,"42,290.00",DUN LAOGHAIRE-MOUNT TOWN,DUBLIN
Household median gross income,"047 Dun Laoghaire-Sallynoggin East, Dún Laoghaire-Rathdown",2016,Euro,"53,416.00",DUN LAOGHAIRE SALLYNOGGIN EAST,DUBLIN
Household median gross income,"048 Dun Laoghaire-Sallynoggin South, Dún Laoghaire-Rathdown",2016,Euro,"45,078.00",DUN LAOGHAIRE SALLYNOGGIN SOUTH,DUBLIN
Household median gross income,"049 Dun Laoghaire-Sallynoggin West, Dún Laoghaire-Rathdown",2016,Euro,"49,502.00",DUN LAOGHAIRE-SALLYNOGGIN WEST,DUBLIN
Household median gross income,"050 Dun Laoghaire-Sandycove, Dún Laoghaire-Rathdown",2016,Euro,"64,242.00",DUN LAOGHAIRE-SANDYCOVE,DUBLIN
Household median gross income,"051 Dun Laoghaire-Salthill, Dún Laoghaire-Rathdown",2016,Euro,"60,196.00",DUN LAOGHAIRE-SALTHILL,DUBLIN
Household median gross income,"052 Dun Laoghaire-West Central, Dún Laoghaire-Rathdown",2016,Euro,"50,770.00",DUN LAOGHAIRE-WEST CENTRAL,DUBLIN
Household median gross income,"053 Foxrock-Beechpark, Dún Laoghaire-Rathdown",2016,Euro,"76,640.00",FOXROCK-BEECHPARK,DUBLIN
Household median gross income,"054 Foxrock-Carrickmines, Dún Laoghaire-Rathdown",2016,Euro,"90,080.00",FOXROCK-CARRICKMINES,DUBLIN
Household median gross income,"055 Foxrock-Deans Grange, Dún Laoghaire-Rathdown",2016,Euro,"77,742.00",FOXROCK-DEANS GRANGE,DUBLIN
Household median gross income,"056 Foxrock-Torquay, Dún Laoghaire-Rathdown",2016,Euro,"92,189.00",FOXROCK-TORQUAY,DUBLIN
Household median gross income,"057 Glencullen, Dún Laoghaire-Rathdown",2016,Euro,"74,418.00",GLENCULLEN,DUBLIN
Household median gross income,"058 Killiney North, Dún Laoghaire-Rathdown",2016,Euro,"78,048.00",KILLINEY NORTH,DUBLIN
Household median gross income,"059 Killiney South, Dún Laoghaire-Rathdown",2016,Euro,"48,665.00",KILLINEY SOUTH,DUBLIN
Household median gross income,"060 Shankill-Rathmichael, Dún Laoghaire-Rathdown",2016,Euro,"60,059.00",SHANKILL-RATHMICHAEL,DUBLIN
Household median gross income,"061 Shankill-Rathsallagh, Dún Laoghaire-Rathdown",2016,Euro,"48,313.00",SHANKILL-RATHSALLAGH,DUBLIN
Household median gross income,"062 Shankill-Shanganagh, Dún Laoghaire-Rathdown",2016,Euro,"64,827.00",SHANKILL-SHANGANAGH,DUBLIN
Household median gross income,"063 Stillorgan-Deerpark, Dún Laoghaire-Rathdown",2016,Euro,"83,999.00",STILLORGAN-DEERPARK,DUBLIN
Household median gross income,"064 Stillorgan-Kilmacud, Dún Laoghaire-Rathdown",2016,Euro,"70,719.00",STILLORGAN-KILMACUD,DUBLIN
Household median gross income,"065 Stillorgan-Leopardstown, Dún Laoghaire-Rathdown",2016,Euro,"80,949.00",STILLORGAN-LEOPARDSTOWN,DUBLIN
Household median gross income,"066 Stillorgan-Merville, Dún Laoghaire-Rathdown",2016,Euro,"82,500.00",STILLORGAN-MERVILLE,DUBLIN
Household median gross income,"067 Stillorgan-Mount Merrion, Dún Laoghaire-Rathdown",2016,Euro,"90,248.00",STILLORGAN-MOUNT MERRION,DUBLIN
Household median gross income,"068 Stillorgan-Priory, Dún Laoghaire-Rathdown",2016,Euro,"78,957.00",STILLORGAN-PRIORY,DUBLIN
Household median gross income,"069 Tibradden, Dún Laoghaire-Rathdown",2016,Euro,"73,162.00",TIBRADDEN,DUBLIN
